City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,khandyga,62.6667,135.6,12.5,53,28,4.02,RU,1691352236
83,bocas del toro,9.3333,-82.25,28.95,74,100,3.58,PA,1691351949
84,nar'yan-mar,67.6713,53.087,15.45,91,22,2.82,RU,1691352237
85,rumonge,-3.9736,29.4386,24.18,53,23,1.37,BI,1691352237
86,tughyl,47.7252,84.2063,19.64,71,100,2.63,KZ,1691352237
87,port alfred,-33.5906,26.891,17.32,82,26,1.34,ZA,1691352238
88,xilin hot,43.9667,116.0333,16.28,84,11,2.93,CN,1691352238
89,kutum,14.2,24.6667,27.08,51,92,2.36,SD,1691352238
90,nikolayevsk-on-amure,53.1406,140.73,13.04,63,40,2.16,RU,1691352239
91,vila franca do campo,37.7167,-25.4333,24.23,70,38,0.91,PT,1691352239
92,puerto san jose,13.9256,-90.8244,32.54,62,1,4.07,GT,1691352240
93,tarfaya,27.9358,-12.9218,22.42,82,30,4.85,MA,1691352240
94,sao paulo de olivenca,-3.3783,-68.8725,31.26,57,100,0.29,BR,1691352240
95,mandiana,10.6333,-8.6833,24.07,91,100,2.07,GN,1691352241
96,beyneu,45.3167,55.2,31.16,25,1,0.28,KZ,1691352241
97,pazarlar,38.995,29.1258,19.69,44,0,1.67,TR,1691352242
98,taltal,-25.4,-70.4833,17.64,71,10,2.95,CL,1691352105
99,vorgashor,67.5833,63.95,17.14,96,100,3.02,RU,1691352243
100,tabou,4.423,-7.3528,24.68,86,4,2.66,CI,1691352243
101,miri,4.4148,114.0089,26.08,89,20,1.54,MY,1691352168
102,vorkuta,67.5,64.0,17.28,97,100,2.86,RU,1691352244
103,kerikeri,-35.2268,173.9474,9.95,94,100,1.32,NZ,1691352211
104,kidatu,-7.6992,36.9572,21.18,80,77,0.6,TZ,1691352245
105,kenai,60.5544,-151.2583,17.03,82,100,3.6,US,1691352246
106,nejo,9.5,35.5,12.92,92,39,1.49,ET,1691352246
107,vilyuchinsk,52.9306,158.4028,16.15,82,96,3.1,RU,1691352247
108,hushitai,41.9322,123.5114,17.95,97,68,2.55,CN,1691352247
109,nova sintra,14.8667,-24.7167,22.97,78,95,5.2,CV,1691352248
110,puerto deseado,-47.7503,-65.8938,3.25,50,6,12.17,AR,1691352248
111,hammerfest,70.6634,23.6821,11.25,76,20,4.63,NO,1691352249
112,saudarkrokur,65.7461,-19.6394,12.99,65,75,1.77,IS,1691352249
113,sinabang,2.4803,96.3801,26.33,83,69,1.59,ID,1691352250
114,haiku-pauwela,20.9219,-156.3051,28.47,54,20,7.72,US,1691352250
115,hasaki,35.7333,140.8333,26.28,92,10,3.9,JP,1691352251
116,mil'kovo,55.6078,37.7956,25.11,70,0,3.55,RU,1691352251
117,carrollton,32.9537,-96.8903,40.78,36,0,6.69,US,1691352068
118,san juan opico,13.8761,-89.3597,31.75,42,17,0.39,SV,1691352252
119,kamina,-8.7386,24.9906,19.64,36,0,1.48,CD,1691352253
120,cooma,-36.2333,149.1333,0.89,95,13,0.27,AU,1691352253
121,el calafate,-50.3408,-72.2768,-1.02,68,1,2.48,AR,1691352254
122,tamanrasset,22.785,5.5228,31.95,25,20,6.17,DZ,1691352255
123,port mathurin,-19.6833,63.4167,22.73,59,95,11.42,MU,1691352255
124,usinsk,65.9939,57.5281,16.69,90,69,2.95,RU,1691352256
125,santa elena de uairen,4.6167,-61.1333,25.82,66,68,3.38,VE,1691352256
126,talnakh,69.4865,88.3972,13.45,68,7,0.84,RU,1691352257
127,shitanjing,39.2342,106.3439,22.74,42,4,1.26,CN,1691352257
128,tenosique,17.4833,-91.4333,33.7,53,7,3.87,MX,1691352258
129,wailua homesteads,22.0669,-159.378,28.44,75,40,4.12,US,1691352258
130,xai-xai,-25.0519,33.6442,17.49,79,0,2.7,MZ,1691352258
131,harper,4.375,-7.7169,24.76,84,10,2.76,LR,1691352259
132,petropavlovsk-kamchatsky,53.0452,158.6483,15.33,94,75,2.0,RU,1691352260
133,carnarvon,-24.8667,113.6333,20.62,71,86,2.93,AU,1691352260
